sample_name,category
Actinolite,amphiboles
Anthophyllite,amphiboles
Hornblende,amphiboles
Biotite,biotite-chlorite
Calcite,calcite-dolomite
Chlorite,biotite-chlorite
Dolomite,calcite-dolomite
Epidote,epidote
Microcline,feldspar
Orthoclase,feldspar
Sanidine,feldspar
Albite,feldspar
Andesine,feldspar
Anorthite,feldspar
Labradorite,feldspar
Oligoclase,feldspar
Garnet,garnet
Obsidian,garnet
Glaucophane,glaucophane
Kyanite,kyanite
Muscovite,muscovite
Olivine-Fa,olivine
Olivine-Fo,olivine
Phlogopite,biotite-chlorite
Augite,pyroxene
Diopside,pyroxene
Diopside-2,pyroxene
Bronzite,pyroxene
Enstatite,pyroxene
Wollastonite,pyroxene
Quartz,Quartz
Quartz-slab,Quartz
Serpentine-2,serpentine
Talc,talc
Vesuvianite,vesuvianite
Zoisite,zoisite
Blackbody,Blackbody
Serpentine,serpentine
